objID,ra_sdssdr5,dec_sdssdr5,ra_rosatsdssdr5,dec_rosatsdssdr5,distance,F_Halpha,EW_Halpha,s2n_Halpha,F_Hbeta,EW_Hbeta,s2n_Hbeta,F_oiii,EW_oiii,s2n_oiii,F_nii,EW_nii,s2n_nii,RASS,SDSS,umag,gmag,rmag,imag,zmag,St,z,CRate,Exp,HR1,HR2,L,FX,g0mag,FXcor,logLX,LogL2500,logL2keV,alpha,Comm,agn_type
587724240153083990,42.279991,-9.0214401,42.27996,-9.02144,0.00210256414485258,415.356,17.652,21.254,131.143,5.004,10.728,257.064,10.384,23.065,305.323,12.908,18.841,024907.9-090112,024907.19-090117.2,19.73,19.08,18.26,17.83,17.57,3,0.166,0.0345,233,-0.94,-1,9,3.56,18.98,8.94,43.87,28.68,25.33,1.29,-9999,Other_AGN
587724242303320221,48.387005,-6.5327656,48.387,-6.53275,0.00167366229715545,-994,-999,2.033,56.141,3.057,8.374,322.115,18.835,15.231,-994,-999,1.926,031332.5-063203,031332.88-063157.9,19.84,19.66,19.32,18.96,18.46,3,0.389,0.049,226,0.33,0.48,16,5.95,19.44,17.47,45.04,29.3,26.5,1.07,-9999,Other_AGN
587724242304630856,51.355674,-6.1438697,51.35562,-6.14386,0.00267841741262673,10559.5,31.318,54.641,2076.293,5.325,63.706,12193.29,33.205,22.808,10395.82,30.671,35.479,032525.2-060830,032525.35-060837.9,17,15.87,15.31,14.98,14.7,3,0.034,0.413,400,0.58,0.22,430,47.62,15.66,131.5,43.56,28.58,25.02,1.37,Sy1.9,BL_Seyfert
587724242305810514,54.123931,-5.854587,54.12392,-5.85458,0.00176389847547475,1169.195,59.215,28.982,327.603,14.062,23.627,281.327,12.876,19.928,453.29,22.837,19.498,033627.1-055148,033629.74-055116.5,19.42,18.95,18.48,18.08,17.94,3,0.112,0.0327,421,0.34,0.52,13,3.77,18.82,10.38,43.55,28.38,25.02,1.29,-9999,Other_AGN
587724648179892335,172.21914,-3.3585044,172.2191,-3.35847,0.00257758334677126,1931.749,44.838,40.1,376.75,6.717,28.623,569.884,10.86,31.614,1143.437,26.402,23.176,112852.6-032120,112852.59-032130.5,18.63,18.07,17.58,17.23,17.1,3,0.198,0.0184,386,-0.02,-0.8,8,2.06,17.91,5.54,43.84,29.27,25.3,1.53,Sy1.9,BL_Seyfert
587724649799483512,192.73138,-2.2292465,192.7314,-2.22928,0.000397054504626046,219.723,7.411,19.783,55.299,1.829,9.842,151.389,5.238,30.178,222.201,7.455,16.776,125054.6-021343,125055.53-021345.4,20.14,18.83,18.07,17.64,17.37,3,0.086,0.0181,340,0.46,0.17,8,1.37,18.74,2.78,42.73,28.17,24.19,1.53,Sy1.9,BL_Seyfert
587725039016607891,176.39625,-3.6670815,176.3963,-3.66711,0.00160003993595895,21.43,0.735,2.769,4.703,0.145,1.308,17.633,0.577,3.446,11.549,0.394,1.577,114535.8-033948,114535.10-034001.6,20.16,19.11,18.08,17.77,17.45,3,0.168,0.3943,168,0.22,0.19,143,35.07,18.99,78.95,44.83,28.69,26.29,0.92,BL?_radio,Other_AGN
587725039557214241,184.94046,-3.2399859,184.9404,-3.23997,0.0026151203318791,133.876,2.852,2.651,111.844,1.867,4.721,101.248,1.798,3.945,23.836,0.505,2.427,121946.0-031419,121945.70-031423.9,18.53,18.17,17.75,17.48,17.28,6,0.299,0.1655,234,0.44,0.26,83,15.73,18.03,37.07,45.09,29.61,26.55,1.18,radio,Other_AGN
587725040631873648,187.03805,-2.3600322,187.038,-2.36003,0.00163335305014817,-999,-999,0.982,4.213,0.261,1.027,3.841,0.252,2.411,-999,-999,0.052,122808.8-022139,122809.13-022136.1,20.68,20.13,19.38,18.99,18.74,3,0.323,0.0926,369,0.02,-0.28,46,8.06,20.02,17.89,44.85,28.89,26.31,0.99,BL?_radio,Other_AGN
587725040637116430,198.99516,-2.3959079,198.9951,-2.39592,0.00179648581805048,118.488,4.192,12.104,49.581,1.86,7.058,182.397,7.093,15.238,-994,-999,9.443,131559.4-022349,131558.83-022345.3,20.95,19.34,18.27,17.77,17.56,3,0.14,0.0969,286,0.17,0.58,45,7.64,19.24,15.85,43.95,28.42,25.41,1.15,-9999,Other_AGN
587725041165860935,180.45728,-1.8909608,180.4572,-1.89097,0.00298204970042055,4160.204,153.08,25.886,887.265,29.84,23.359,4086.404,145.284,28.858,2268.236,83.027,22.254,120150.1-015327,120149.74-015327.5,18.87,18.33,17.86,17.09,17.26,3,0.091,0.0449,290,0.98,0.32,22,3.86,18.24,8.5,43.27,28.43,24.73,1.42,Sy1.5_radio,BL_Seyfert
587725041166188938,181.24475,-1.9658926,181.2447,-1.96589,0.00222151316331414,76.936,12.004,4.821,24.788,3.801,3.522,235.429,37.818,15.102,36.83,5.717,2.225,120459.0-015731,120458.73-015757.2,24.89,21.39,20.06,19.61,19.46,3,0.288,0.0624,147,-0.98,-1,8,5.36,21.3,11.78,44.55,28.27,26.01,0.87,Sy2?,NL_Seyfert
587725469596713155,132.96928,52.47582,132.9693,52.47581,0.00107131837580851,939.323,50.375,33.948,308.867,14.879,22.536,370.605,18.811,49.278,290.34,15.489,28.375,085152.5+522828,085152.63+522832.9,19.6,19.04,18.56,18.22,18.05,3,0.064,0.127,283,-0.22,0.19,70,11.55,18.94,26.39,43.43,27.83,24.9,1.13,Sy1.5,BL_Seyfert
587725470129782832,123.8203,46.075269,123.8203,46.07525,0.00161601365534342,4404.478,34.527,36.01,1644.921,10.578,26.777,3262.525,22.275,27.446,3611.362,28.162,31.936,081517.8+460429,081516.86+460430.9,17.2,16.67,16.32,15.95,15.7,3,0.041,0.1384,455,0.4,-0.19,139,15.98,16.47,44.2,43.25,28.42,24.71,1.42,Sy1.5_radio,BL_Seyfert
587725470670586069,132.33214,53.291703,132.3321,53.29167,0.00154715584620612,2881.431,60.208,29.399,451.535,10.821,24.431,1094.318,26.743,30.975,1932.167,40.159,28.465,084918.7+531806,084919.70+531730.0,19.7,18.48,17.76,17.12,16.82,3,0.111,0.0557,467,0.35,0.53,38,5.27,18.39,12.37,43.62,28.55,25.08,1.33,Sy2?_radio_ambigID,NL_Seyfert
587725475492528268,155.00188,62.662436,155.0018,62.66239,0.00162608752114728,795.402,41.305,28.393,186.705,8.784,15.999,204.166,10.169,17.561,551.222,28.475,22.93,102001.4+623941,102000.44+623944.6,19.5,18.95,18.49,18.04,17.84,3,0.136,0.0422,626,-0.79,-0.2,26,2.56,18.91,4.37,43.36,28.52,24.83,1.42,Sy1.5_radio,BL_Seyfert
587725475492593743,155.05737,62.83614,155.0573,62.83611,0.0018011734972978,102.019,3.876,5.343,32.275,1.127,3.322,10.02,0.367,2.438,16.177,0.611,2.46,102014.0+625032,102013.76+625010.0,20.1,19.48,18.59,18.15,17.83,3,0.25,0.0553,608,-0.35,0.02,30,3.38,19.44,5.8,44.09,28.88,25.56,1.27,BL?_radio,Other_AGN
587725489986797798,253.64712,62.016084,253.6471,62.01606,0.000948262604084628,417.086,42.354,52.098,115.279,9.271,17.394,284.933,24.5,31.829,244.133,24.662,29.151,165435.4+620055,165435.31+620057.8,20.33,19.73,19.24,18.9,18.81,3,0.159,0.015,1975,-0.51,0,17,1.39,19.61,3.22,43.38,28.39,24.85,1.36,Sy2?,NL_Seyfert
587725489986797798,253.64712,62.016084,253.6471,62.01606,0.000948262604084628,403.835,44.575,56.034,119.416,10.111,23.212,276.503,25.012,32.001,211.799,23.256,29.922,165435.4+620055,165435.31+620057.8,20.33,19.73,19.24,18.9,18.81,3,0.159,0.015,1975,-0.51,0,17,1.39,19.61,3.22,43.38,28.39,24.85,1.36,Sy2?,NL_Seyfert
587725492137754921,261.84779,55.181548,261.8478,55.18153,0.00190489379260255,675.14,40.383,29.249,162.564,10.936,21.195,265.001,18.308,17.273,750.721,44.667,24.466,172722.1+551049,172723.47+551053.5,21.28,20.24,19.35,18.79,18.43,3,0.247,0.0808,1640,0.62,0.19,127,8.06,20.11,19.68,44.61,28.6,26.08,0.97,Sy2?_radio,NL_Seyfert
587725492137754921,261.84779,55.181548,261.8478,55.18153,0.00190489379260255,649.251,39.568,23.929,153.82,10.492,21.132,273.564,19.102,15.442,683.132,41.414,20.994,172722.1+551049,172723.47+551053.5,21.28,20.24,19.35,18.79,18.43,3,0.247,0.0808,1640,0.62,0.19,127,8.06,20.11,19.68,44.61,28.6,26.08,0.97,Sy2?_radio,NL_Seyfert
587725503411454254,258.61419,56.032236,258.6142,56.03222,0.00186147252694437,-999,2.509,0.574,-999,0.314,0.76,-994,-999,1.609,-999,-333,0.106,171427.3+560146,171427.40+560156.0,21.27,20.73,19.69,19.22,18.89,3,0.402,0.0322,1370,-0.07,0.06,38,2.93,20.65,6.7,44.66,28.85,26.12,1.05,BL?_zunc_radio,Other_AGN
