log10..NII..Ha. log10.EW.Ha.. WHAN_Class
-0.58477  1.64010  1.00000
-0.74147  1.90289  1.00000
-0.47810  1.41711  1.00000
 0.04532 -0.41229  4.00000
-0.04152  0.98825  2.00000
-0.51955  1.64979  1.00000
-0.35540  1.11384  2.00000
-0.44834  1.53679  1.00000
-0.40248  1.36348  1.00000
-0.48671  1.44528  1.00000
-0.48784  1.48940  1.00000
-0.39637  1.23076  2.00000
 0.00000  0.00000  0.00000
-0.46173  1.49714  1.00000
-0.77605  1.78489  1.00000
-0.56640  1.77838  1.00000
-0.21018  1.15975  2.00000
-0.07518  0.37876  4.00000
 0.00000  0.00000  0.00000
-0.44398  1.49136  1.00000
-0.31708  1.45583  2.00000
-0.29018  1.39738  2.00000
-0.70835  1.88719  1.00000
-0.29442  1.10877  2.00000
-0.34515  1.50939  2.00000
 0.00000  0.00000  0.00000
-0.44689  0.18865  4.00000
-0.46606  1.77610  1.00000
-0.28893  1.09489  2.00000
 0.00000  0.00000  0.00000
-0.47750  1.88637  1.00000
 0.00000  0.00000  0.00000
-0.49155  1.50057  1.00000
-0.02933  0.08636  4.00000
-0.30761  1.73668  2.00000
-0.44642  1.29675  1.00000
-0.13039  0.25115  4.00000
-0.43502  1.20962  1.00000
-0.23841  0.78154  2.00000
-0.39629  1.61786  2.00000
-0.59612  1.57266  1.00000
-0.85447  1.45260  1.00000
-0.80986  1.80623  1.00000
-0.19438  0.89332  2.00000
-0.81334  1.80372  1.00000
-0.38848  1.46021  2.00000
-0.23507 -0.17653  4.00000
-0.42845  1.63989  1.00000
-0.35160  0.21139  4.00000
-0.76591  1.70985  1.00000
-0.51516  1.47422  1.00000
-0.52756  0.96379  1.00000
-0.55896  1.50014  1.00000
-0.87045  1.83029  1.00000
-0.48521  1.75908  1.00000
-0.25728  0.46908  4.00000
-0.35613  1.33064  2.00000
-0.60641  1.60261  1.00000
-0.35830  1.63750  2.00000
-0.35621  1.79966  2.00000
-0.51214  2.07860  1.00000
 0.00000  0.00000  0.00000
-0.47323  1.56413  1.00000
-0.15281  0.71416  3.00000
 0.00000  0.00000  0.00000
-0.37842  0.69888  3.00000
-0.40003  1.43586  1.00000
 0.00000  0.00000  0.00000
 0.39038  0.17638  4.00000
-0.10621  0.09447  4.00000
-0.24548  0.75997  3.00000
-0.19705  0.28149  4.00000
-0.36495  1.49579  2.00000
-0.47786  1.51817  1.00000
 0.30314 -0.23958  4.00000
