objID,plate,mjd,fiberID,F_Halpha,EW_Halpha,s2n_Halpha,F_Hbeta,EW_Hbeta,s2n_Hbeta,F_oiii,EW_oiii,s2n_oiii,F_nii,EW_nii,s2n_nii,ra,dec,redshift,SNVSS,RCl,SFIRST,Offset,A,M,L,H
587739810502476231,2210,53535,279,105.723,4.163,17.963,8.784,0.502,2.313,5.54,0.317,1.907,111.912,4.383,17.867,249.3701,12.6856,0.04979,6.3,3,NA,NA,False,False,False,False
587741602562310202,2214,53794,424,398.092,2.251,17.025,97.132,0.705,7.11,92.901,0.679,4.728,669.055,3.763,19.931,167.8551,26.96361,0.03352,86.8,1,12.7,0.21,True,False,True,False
587735347484753932,1742,53053,96,32.866,0.386,3.834,-999,-999,0.6,14.498,0.182,1.04,-994,-999,1.628,145.9563,11.10258,0.07899,8.1,1,8.6,0.03,True,True,True,False
587739828212793392,2197,53555,464,-994,-999,1.689,22.163,0.139,2.272,-999,-999,0.606,70.177,0.397,2.89,240.8114,16.40283,0.03675,13.6,1,9.6,0.33,True,False,True,False
587731187818430475,392,51793,533,1952.047,31.449,126.311,485.833,7.095,70.254,134.979,2.064,22.186,687.285,11.015,64.208,8.928641,1.21706,0.04059,5.5,1,3.5,0.78,False,True,False,False
587739152818503836,1925,53327,24,47.238,0.778,7.006,-994,-999,1.078,24.607,0.442,2.967,74.084,1.214,10.033,124.7287,20.10583,0.07547,122.1,2,NA,NA,True,True,True,False
587738946663678149,1932,53350,245,320.655,5.388,24.955,94.52,1.701,11.603,331.259,6.152,17.235,319.517,5.341,26.058,131.7867,26.1236,0.06643,7.9,1,7.5,0.05,True,True,True,False
587742576452763679,2756,54508,15,500.847,4.054,22.632,120.014,1.064,8.468,228.45,2.095,15.172,659.241,5.308,25.097,210.11,17.85925,0.05056,83.2,1,97.3,0.20,True,True,True,False
588009368545984617,552,51992,342,622.763,2.564,18.212,96.665,0.47,6.71,262.367,1.306,10.705,1511.329,6.19,22.396,135.0844,52.49422,0.03012,8.3,1,6.7,0.58,False,False,False,False
587735662088880334,1430,53002,171,113.125,3.991,17.841,45.742,1.728,6.995,31.574,1.236,4.738,60.423,2.12,9.449,157.6836,39.17456,0.09325,9.3,1,5.6,0.26,True,True,True,False
587739408381771927,1956,53437,505,101.894,2.725,8.494,30.466,0.913,3.201,84.375,2.598,6.955,167.056,4.445,12.398,154.8433,32.15613,0.09583,7.8,1,6.1,0.40,True,True,True,False
587739407859187921,2031,53848,88,374.368,12.572,56.975,40.462,1.37,8.882,49.599,1.733,9.081,390.655,13.051,36.641,194.178,35.125,0.05473,10,1,5.2,1.28,False,True,False,False
587739152815816962,2080,53350,562,1968.402,35.369,120.709,262.266,5.335,47.008,190.858,3.965,21.493,1128.088,20.163,68.863,119.1688,16.92012,0.0287,9.3,1,8.4,0.79,False,False,False,False
null,993,52710,378,1106.117,47.601,131.601,196.4,8.398,38.505,74.581,3.316,20.405,374.254,16.02,74.096,144.8752,6.43668,0.02476,6.5,1,4.2,1.49,False,True,False,False
587739829273493554,2120,53852,81,4409.501,60.389,38.62,797.252,11.403,28.83,231.243,3.424,23.725,2285.745,31.139,33.268,210.5246,26.06089,0.03294,9.6,1,6.0,0.20,False,False,False,False
588297864728674347,1442,53050,394,1019.286,5.151,29.866,165.864,0.912,9.279,112.648,0.642,7.341,856.152,4.303,27.893,171.574,46.9741,0.02489,14.6,1,14.2,0.74,False,False,False,False
587727865645826164,545,52202,94,212.732,1.905,9.835,39.148,0.401,1.72,11.891,0.125,1.359,284.554,2.534,10.739,121.5296,39.34244,0.06456,10.9,1,9.5,0.23,True,True,True,False
587731873387643322,892,52378,511,41.496,0.559,3.23,28.645,0.416,1.876,8.626,0.129,2.301,34.245,0.459,3.525,122.9214,36.11577,0.08626,43.1,1,13.4,0.37,True,True,True,False
587735743154356370,1406,52876,152,68.928,0.715,2.397,-999,-999,0.784,-999,-999,0.853,15.565,0.16,3.162,243.1779,29.90132,0.05336,36.1,2,7.3,0.55,True,True,True,False
587738372205445127,1920,53314,489,1781.444,24.471,26.22,452.027,6.61,20.615,1648.114,25.002,25.49,1429.782,19.537,23.727,118.1623,18.32161,0.04494,9.5,1,10.0,0.38,False,True,False,False
587739720293613620,1978,53473,232,1604.954,41.032,65.741,214.047,6.385,32.83,41.433,1.258,8.728,631.248,16.053,45.947,202.0583,28.66927,0.03732,5.9,1,4.2,0.27,False,True,False,False
587741726040457396,2656,54484,225,283.708,6.883,27.664,83.702,2.162,11.891,86.147,2.309,11.603,210.631,5.083,19.66,181.5662,24.94881,0.07532,13.4,1,11.2,0.09,True,True,True,False
